Fecha,Moneda,Venta
2023-03-14,EUR,4.195
2023-03-15,EUR,4.191
2023-03-16,EUR,4.12
2023-03-17,EUR,4.284
2023-03-18,EUR,4.284
2023-03-19,EUR,4.284
2023-03-20,EUR,4.222
2023-03-21,EUR,4.288
2023-03-22,EUR,4.325
2023-03-23,EUR,4.211
2023-03-24,EUR,4.209
2023-03-25,EUR,4.209
2023-03-26,EUR,4.209
2023-03-27,EUR,4.305
2023-03-28,EUR,4.161
2023-03-29,EUR,4.223
2023-03-30,EUR,4.148
2023-03-31,EUR,4.259
2023-04-01,EUR,4.259
2023-04-02,EUR,4.259
2023-04-03,EUR,4.342
2023-04-04,EUR,4.194
2023-04-05,EUR,4.34
2023-04-06,EUR,4.34
2023-04-07,EUR,4.34
2023-04-08,EUR,4.34
2023-04-09,EUR,4.34
2023-04-10,EUR,4.385
2023-04-11,EUR,4.198
2023-04-12,EUR,4.277
2023-04-13,EUR,4.375
2023-04-14,EUR,4.295
2023-04-15,EUR,4.295
2023-04-16,EUR,4.295
2023-04-17,EUR,4.266
2023-04-18,EUR,4.249
2023-04-19,EUR,4.339
2023-04-20,EUR,4.416
2023-04-21,EUR,4.21
2023-04-22,EUR,4.21
2023-04-23,EUR,4.21
2023-04-24,EUR,4.181
2023-04-25,EUR,4.155
2023-04-26,EUR,4.224
2023-04-27,EUR,4.351
2023-04-28,EUR,4.214
2023-04-29,EUR,4.214
2023-04-30,EUR,4.214
2023-05-01,EUR,4.214
2023-05-02,EUR,4.409
2023-05-03,EUR,4.286
2023-05-04,EUR,4.221
2023-05-05,EUR,4.361
2023-05-06,EUR,4.361
2023-05-07,EUR,4.361
2023-05-08,EUR,4.423
2023-05-09,EUR,4.259
2023-05-10,EUR,4.262
2023-05-11,EUR,4.324
2023-05-12,EUR,4.291
2023-05-13,EUR,4.291
2023-05-14,EUR,4.291
2023-05-15,EUR,4.233
2023-05-16,EUR,4.046
2023-05-17,EUR,4.053
2023-05-18,EUR,4.156
2023-05-19,EUR,4.061
2023-05-20,EUR,4.061
2023-05-21,EUR,4.061
2023-05-22,EUR,4.238
2023-05-23,EUR,4.295
2023-05-24,EUR,4.011
2023-05-25,EUR,4.22
2023-05-26,EUR,4.093
2023-05-27,EUR,4.093
2023-05-28,EUR,4.093
2023-05-29,EUR,4.177
2023-05-30,EUR,4.239
2023-05-31,EUR,4.28
2023-06-01,EUR,4.231
2023-06-02,EUR,4.111
2023-06-03,EUR,4.111
2023-06-04,EUR,4.111
2023-06-05,EUR,4.109
2023-06-06,EUR,4.193
2023-06-07,EUR,4.237
2023-06-08,EUR,4.233
2023-06-09,EUR,4.215
2023-06-10,EUR,4.215
2023-06-11,EUR,4.215
2023-06-12,EUR,4.21
2023-06-13,EUR,4.189
2023-06-14,EUR,4.051
2023-06-15,EUR,4.229
2023-06-16,EUR,4.022
2023-06-17,EUR,4.022
2023-06-18,EUR,4.022
2023-06-19,EUR,4.129
2023-06-20,EUR,4.06
2023-06-21,EUR,4.155
2023-06-22,EUR,4.205
2023-06-23,EUR,4.162
2023-06-24,EUR,4.162
2023-06-25,EUR,4.162
2023-06-26,EUR,4.003
2023-06-27,EUR,4.143
2023-06-28,EUR,4.081
2023-06-29,EUR,4.081
2023-06-30,EUR,3.984
2023-07-01,EUR,3.984
2023-07-02,EUR,3.984
2023-07-03,EUR,4.129
2023-07-04,EUR,4.139
2023-07-05,EUR,4.179
2023-07-06,EUR,4.239
2023-07-07,EUR,4.291
2023-07-08,EUR,4.291
2023-07-09,EUR,4.291
2023-07-10,EUR,4.315
2023-07-11,EUR,4.207
2023-07-12,EUR,4.265
2023-07-13,EUR,4.265
2023-07-14,EUR,4.313
2023-07-15,EUR,4.313
2023-07-16,EUR,4.313
2023-07-17,EUR,4.329
2023-07-18,EUR,4.278
2023-07-19,EUR,4.124
2023-07-20,EUR,4.298
2023-07-21,EUR,4.139
2023-07-22,EUR,4.139
2023-07-23,EUR,4.139
2023-07-24,EUR,4.301
2023-07-25,EUR,4.286
2023-07-26,EUR,4.159
2023-07-27,EUR,4.013
2023-07-28,EUR,4.013
2023-07-29,EUR,4.013
2023-07-30,EUR,4.013
2023-07-31,EUR,4.264
2023-08-01,EUR,4.109
2023-08-02,EUR,4.227
2023-08-03,EUR,4.312
2023-08-04,EUR,4.351
2023-08-05,EUR,4.351
2023-08-06,EUR,4.351
2023-08-07,EUR,4.17
2023-08-08,EUR,4.17
2023-08-09,EUR,4.352
2023-08-10,EUR,4.341
2023-08-11,EUR,4.247
2023-08-12,EUR,4.247
2023-08-13,EUR,4.247
2023-08-14,EUR,4.315
2023-08-15,EUR,4.321
