Fecha,Moneda,Venta
2023-07-31,USD,3.614
2023-08-01,USD,3.634
2023-08-02,USD,3.661
2023-08-03,USD,3.696
2023-08-04,USD,3.692
2023-08-05,USD,3.692
2023-08-06,USD,3.692
2023-08-07,USD,3.694
2023-08-08,USD,3.71
2023-08-09,USD,3.699
2023-08-10,USD,3.678
2023-08-11,USD,3.684
2023-08-12,USD,3.684
2023-08-13,USD,3.684
2023-08-14,USD,3.703
2023-08-15,USD,3.719
2023-08-16,USD,3.717
2023-08-17,USD,3.73
2023-08-18,USD,3.72
2023-08-19,USD,3.72
2023-08-20,USD,3.72
2023-08-21,USD,3.722
2023-08-22,USD,3.729
2023-08-23,USD,3.716
2023-08-24,USD,3.701
2023-08-25,USD,3.699
2023-08-26,USD,3.699
2023-08-27,USD,3.699
2023-08-28,USD,3.699
2023-08-29,USD,3.696
2023-08-30,USD,3.696
2023-08-31,USD,3.699
2023-09-01,USD,3.695
2023-09-02,USD,3.695
2023-09-03,USD,3.695
2023-09-04,USD,3.698
2023-09-05,USD,3.709
2023-09-06,USD,3.708
2023-09-07,USD,3.713
2023-09-08,USD,3.716
2023-09-09,USD,3.716
2023-09-10,USD,3.716
2023-09-11,USD,3.704
2023-09-12,USD,3.708
2023-09-13,USD,3.706
2023-09-14,USD,3.712
2023-09-15,USD,3.722
2023-09-16,USD,3.722
2023-09-17,USD,3.722
2023-09-18,USD,3.714
2023-09-19,USD,3.717
2023-09-20,USD,3.718
2023-09-21,USD,3.744
2023-09-22,USD,3.748
2023-09-23,USD,3.748
2023-09-24,USD,3.748
2023-09-25,USD,3.773
2023-09-26,USD,3.787
2023-09-27,USD,3.799
2023-09-28,USD,3.806
2023-09-29,USD,3.797
2023-09-30,USD,3.797
2023-10-01,USD,3.797
2023-10-02,USD,3.807
2023-10-03,USD,3.812
2023-10-04,USD,3.818
2023-10-05,USD,3.826
2023-10-06,USD,3.828
2023-10-07,USD,3.828
2023-10-08,USD,3.828
2023-10-09,USD,3.837
2023-10-10,USD,3.828
2023-10-11,USD,3.826
2023-10-12,USD,3.841
2023-10-13,USD,3.85
2023-10-14,USD,3.85
2023-10-15,USD,3.85
